village_id,village_name,district,state,population,water_infrastructure_score,road_infrastructure_score,electricity_score,school_facility_score,healthcare_facility_score,waste_management_score,sanitation_score,rainfall_mm_last_30_days
V001,Rampur,Meerut,Uttar Pradesh,4820,74,48,46,46,42,59,59,109
V002,Shivpur,Meerut,Uttar Pradesh,3210,53,55,49,40,53,66,77,113
V003,Lakshmipur,Meerut,Uttar Pradesh,2890,47,65,59,52,51,46,40,167
V004,Lakhanpur,Meerut,Uttar Pradesh,4150,64,65,52,74,34,74,49,208
V005,Devpura,Meerut,Uttar Pradesh,3670,65,52,53,50,39,42,70,154
V006,Kalyanpur,Meerut,Uttar Pradesh,2540,73,37,69,56,67,71,65,182
V007,Madhopur,Meerut,Uttar Pradesh,4380,42,42,56,63,60,34,75,242
V008,Haripur,Meerut,Uttar Pradesh,3920,38,69,63,74,33,65,57,306
V009,Sultanpur,Meerut,Uttar Pradesh,5210,44,76,62,70,70,32,54,128
V010,Gopalpur,Meerut,Uttar Pradesh,3460,47,59,70,90,75,36,48,168
V011,Chandpur,Meerut,Uttar Pradesh,4720,37,46,88,66,34,60,55,162
V012,Basantpur,Meerut,Uttar Pradesh,3180,49,38,89,43,34,48,83,201
V013,Nandgaon,Meerut,Uttar Pradesh,2760,35,42,86,52,64,30,36,170
V014,Sundarpur,Meerut,Uttar Pradesh,3010,42,31,85,60,36,46,66,223
V015,Ramnagar,Meerut,Uttar Pradesh,3550,83,56,88,61,64,77,74,146
V016,Bhagwanpur,Meerut,Uttar Pradesh,4270,32,52,88,76,75,61,78,215
V017,Krishnapur,Meerut,Uttar Pradesh,3340,74,57,48,80,71,51,90,182
V018,Shankarpur,Meerut,Uttar Pradesh,2980,42,64,61,75,70,63,57,294
V019,Govindpur,Meerut,Uttar Pradesh,3860,55,64,50,80,71,78,85,95
V020,Jagdishpur,Meerut,Uttar Pradesh,4490,57,59,88,43,71,68,37,210
V021,Narayanpur,Meerut,Uttar Pradesh,5120,39,85,87,70,55,37,80,255
V022,Rajapur,Meerut,Uttar Pradesh,3610,85,52,52,56,37,45,62,147
V023,Maheshpur,Meerut,Uttar Pradesh,3290,71,43,62,53,59,73,35,121
V024,Sitarampur,Meerut,Uttar Pradesh,4050,32,77,78,70,52,41,60,320
V025,Rampatti,Meerut,Uttar Pradesh,4680,81,71,53,52,74,68,54,135
V026,Lakhania,Meerut,Uttar Pradesh,2970,49,78,72,58,57,82,62,232
V027,Chakrapur,Meerut,Uttar Pradesh,5370,57,42,50,65,54,84,58,313
V028,Shivnagar,Meerut,Uttar Pradesh,3820,43,68,79,87,68,66,84,270
V029,Bhairavpur,Meerut,Uttar Pradesh,4140,61,46,65,85,45,76,86,279
V030,Durgapur,Meerut,Uttar Pradesh,3050,84,80,66,75,35,84,47,279
V031,Amarpur,Meerut,Uttar Pradesh,4960,47,41,50,69,41,44,81,288
V032,Lakshmanpur,Meerut,Uttar Pradesh,3580,44,49,84,66,59,83,64,100
V033,Kishanpur,Meerut,Uttar Pradesh,4320,47,84,63,84,35,70,37,160
V034,Ramkola,Meerut,Uttar Pradesh,3170,83,79,74,61,74,81,39,284
V035,Premnagar,Meerut,Uttar Pradesh,3890,54,63,77,67,77,50,61,113
V036,Gyanpur,Meerut,Uttar Pradesh,2740,37,74,88,57,37,75,38,223
V037,Shantipur,Meerut,Uttar Pradesh,4550,85,38,60,60,81,66,55,147
V038,Suryapur,Meerut,Uttar Pradesh,3650,46,69,88,57,30,73,53,133
V039,Mohanpur,Meerut,Uttar Pradesh,3110,66,47,75,57,59,63,83,273
V040,Vijaypur,Meerut,Uttar Pradesh,2630,77,34,80,48,47,81,52,191
V041,Saraswati Nagar,Meerut,Uttar Pradesh,5080,30,41,70,45,69,53,60,283
V042,Deviganj,Meerut,Uttar Pradesh,4210,65,74,45,87,65,30,39,104
V043,Keshavpur,Meerut,Uttar Pradesh,3470,31,75,47,80,50,70,43,94
V044,Raghunathpur,Meerut,Uttar Pradesh,2860,31,61,48,89,31,67,41,203
V045,Adarshpur,Meerut,Uttar Pradesh,3980,79,33,57,88,81,68,44,216
V046,Mangalpur,Meerut,Uttar Pradesh,3070,42,44,47,63,58,32,47,99
V047,Vishnupur,Meerut,Uttar Pradesh,2510,49,63,77,70,58,74,68,267
V048,Shyampur,Meerut,Uttar Pradesh,3740,79,36,71,85,55,84,39,319
V049,Sanjaypur,Meerut,Uttar Pradesh,2910,36,49,70,55,52,35,40,91
V050,Govardhanpur,Meerut,Uttar Pradesh,3390,41,31,60,72,45,32,38,307
