complaint_id,village_id,village_name,district,state,description,category,severity,status,created_at,resolved_at
V001-C01,V001,Rampur,Meerut,Uttar Pradesh,The hand pump near the primary school is not working.,Water,High,Pending,2026-09-05,
V001-C02,V001,Rampur,Meerut,Uttar Pradesh,The internal road near the health centre needs repair.,Road,Medium,In Progress,2026-09-01,
V001-C03,V001,Rampur,Meerut,Uttar Pradesh,The internal road near the health centre needs repair.,Road,Medium,Pending,2026-08-16,
V001-C04,V001,Rampur,Meerut,Uttar Pradesh,Garbage is not collected regularly and is accumulating near homes.,Waste Management,High,Resolved,2026-08-19,2026-08-27
V001-C05,V001,Rampur,Meerut,Uttar Pradesh,Drinking water supply has been irregular for the last 7 days.,Water,High,Pending,2026-08-21,
V002-C01,V002,Shivpur,Meerut,Uttar Pradesh,Low voltage is affecting household electrical appliances.,Electricity,Medium,Pending,2026-08-22,
V002-C02,V002,Shivpur,Meerut,Uttar Pradesh,The local agricultural service point is not regularly available.,Agriculture,Medium,Pending,2026-08-19,
V002-C03,V002,Shivpur,Meerut,Uttar Pradesh,Wastewater is flowing onto the village lane because the drain is damaged.,Sanitation,High,Pending,2026-08-24,
V002-C04,V002,Shivpur,Meerut,Uttar Pradesh,Plastic and household waste is being burned in open areas.,Waste Management,Medium,Resolved,2026-08-26,2026-09-04
V002-C05,V002,Shivpur,Meerut,Uttar Pradesh,Farmers report insufficient irrigation water for the current crop.,Agriculture,High,Pending,2026-08-28,
V003-C01,V003,Lakshmipur,Meerut,Uttar Pradesh,Plastic and household waste is being burned in open areas.,Waste Management,Medium,Pending,2026-08-31,
V003-C02,V003,Lakshmipur,Meerut,Uttar Pradesh,The primary school has a shortage of functional toilets.,School,High,In Progress,2026-08-15,
V003-C03,V003,Lakshmipur,Meerut,Uttar Pradesh,The main village road has large potholes and becomes difficult to use after rain.,Road,High,In Progress,2026-08-07,
V003-C04,V003,Lakshmipur,Meerut,Uttar Pradesh,The public toilet is poorly maintained and unusable.,Sanitation,Medium,Pending,2026-08-10,
V003-C05,V003,Lakshmipur,Meerut,Uttar Pradesh,Several street lights near the main road are not working.,Electricity,Medium,In Progress,2026-08-30,
V004-C01,V004,Lakhanpur,Meerut,Uttar Pradesh,Basic diagnostic equipment is unavailable at the health facility.,Healthcare,High,In Progress,2026-09-02,
